"resource_id","iam_principal","service","charge_type","region","tag_project","tag_owner","tag_name","tag_cluster","cost_usd"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/global.anthropic.claude-fable-5","arn:aws:sts::123456789012:assumed-role/app-ec2-role/i-aaaa11112222aaaa","AmazonBedrockService","Usage","us-east-1","-","-","-","-","14.1507705"
"arn:aws:elasticloadbalancing:us-east-1:123456789012:loadbalancer/app/MCS-ServiceS-UEHd6D6hz3cU/122a78774245546e","(no principal)","AWSELB","Usage","us-east-1","-","-","-","-","13.256432569399983"
"arn:aws:elasticloadbalancing:us-east-1:123456789012:loadbalancer/app/MCS-LoadBala-ggn4eSTg77UF/22f559ad54b74caa","(no principal)","AWSELB","Usage","us-east-1","-","-","-","-","13.254326296299979"
"arn:aws:elasticloadbalancing:us-east-1:123456789012:loadbalancer/app/mcp-alb/31a2aefe232ee594","(no principal)","AWSELB","Usage","us-east-1","-","-","-","-","13.252499999999984"
"arn:aws:elasticloadbalancing:us-east-1:123456789012:loadbalancer/app/litellm-alb/203e04b42f1b95ac","(no principal)","AWSELB","Usage","us-east-1","-","-","litellm-alb","-","13.252499999999984"
"(no resource id)","(no principal)","AWSConfig","Usage","us-west-2","-","-","-","-","13.02099999999994"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/global.anthropic.claude-sonnet-4-6","arn:aws:sts::123456789012:assumed-role/app-ec2-role/i-aaaa11112222aaaa","AmazonBedrockService","Usage","us-east-1","-","-","-","-","12.588467699999999"
"(no resource id)","(no principal)","AmazonCloudWatch","Usage","ap-southeast-1","-","-","-","-","12.469057767599868"
"arn:aws:ecs:us-east-1:123456789012:task/MCS-ServiceStackApiEcsServiceApiEcsServiceCluster0E9E02D7-KSc2YxWcWlTE/a8056216d2144072a25ca1ecd26d0928","(no principal)","AmazonECS","SavingsPlanCoveredUsage","us-east-1","-","-","-","-","12.418118383299984"
"arn:aws:wafv2:us-west-2:123456789012:regional/webacl/TestWAF/925ca9e8-d516-40f0-9ca3-366b7722329a","(no principal)","awswaf","Usage","us-west-2","-","-","-","-","12.27083337260014"
"arn:aws:ecs:us-east-1:123456789012:task/MCS-ServiceStackApiEcsServiceApiEcsServiceCluster0E9E02D7-KSc2YxWcWlTE/b9addc26b6f942f79be300b7adfd4803","(no principal)","AmazonECS","SavingsPlanCoveredUsage","us-east-1","-","-","-","-","11.874667288099992"
"arn:aws:synthetics:ap-southeast-1:123456789012:canary:weblab-health","(no principal)","AmazonCloudWatch","Usage","ap-southeast-1","-","-","-","-","11.845600000000069"
"(no resource id)","(no principal)","AWSConfig","Usage","ap-southeast-1","-","-","-","-","10.82799999999999"
"arn:aws:ecs:us-east-1:123456789012:task/MCS-DefaultCluster477CA226-m3BxRG1DTNvA/bf3d18ed683c436590cef62e509c571b","(no principal)","AmazonECS","SavingsPlanCoveredUsage","us-east-1","-","-","-","-","10.168953933800013"
"vol-074713c6a1034d607","(no principal)","AmazonEC2","Usage","ap-northeast-1","-","-","-","tokyo-gpu-cpumixed","9.360000000000007"
"arn:aws:sagemaker:us-west-2:123456789012:space/d-cnp412cemf9i/CanvasManagedSpace-961a01c7a1bc83e5e1115cfbe252a72b","(no principal)","AmazonSageMaker","Usage","us-west-2","-","-","-","-","9.162222248400038"
"(no resource id)","(no principal)","AWSSecurityHub","Usage","-","-","-","-","-","9.046723680000003"
